model,estimate,std_error
1,1,1.94233163863979e-17
2,1,4.075274537575e-17
3,1,5.53386689076084e-17
1,1,1.22528704328157e-17
2,1,1.09272339336905e-17
3,1,3.39863773952647e-17
1,1,4.20150131338282e-17
2,1,4.80105829929334e-18
3,1,5.30694817257204e-18
1,1,1.18203458066798e-17
2,1,2.37632377762569e-17
3,1,4.00280584186744e-17
1,1,1.50369786355033e-17
2,1,3.79398857957997e-17
3,1,4.96870911274789e-17
1,1,6.05899505931512e-17
2,1,3.65111059994697e-17
3,1,7.59330476378175e-17
1,1,3.6662351185873e-17
2,1,7.34911921851103e-17
3,1,1.89268371362873e-16
1,1,2.25972651176954e-17
2,1,2.36423511993687e-17
3,1,2.37792854382677e-17
1,1,6.98711798158944e-17
2,1,5.25801653559068e-17
3,1,6.07601390476897e-17
1,1,2.17543172681129e-17
2,1,1.10004065866519e-17
3,1,1.38321670142803e-17
1,1,8.49232787597432e-17
2,1,4.2402521514583e-17
3,1,4.21430780023352e-17
1,1,5.46604373983591e-18
2,1,1.97980161524807e-17
3,1,2.0151664172779e-17
1,1,3.67978217457692e-17
2,1,4.68486425117597e-17
3,1,5.35750233390885e-17
1,1,6.61207455275738e-17
2,1,7.71239216414839e-18
3,1,1.13083192448522e-17
1,1,1.53333219445807e-17
2,1,8.42310081574852e-18
3,1,1.54604237947207e-17
1,1,2.32717158843969e-17
2,1,1.88950727019084e-17
3,1,7.38546066462187e-17
1,1,5.2966717033063e-17
2,1,6.29594442757431e-17
3,1,8.30490714253338e-17
1,1,2.75858031467501e-17
2,1,5.18766538419783e-17
3,1,6.78979889240538e-17
1,1,1.41068645954991e-17
2,1,2.62250368689733e-17
3,1,4.88306229771878e-17
1,1,7.1189780655551e-18
2,1,1.07357866118634e-16
3,1,1.58583782796791e-16
1,1,4.2293643718517e-17
2,1,2.47919637495227e-17
3,1,2.50642878545952e-17
1,1,4.33132323724995e-17
2,1,2.1599144958677e-17
3,1,2.96163635567787e-17
1,1,5.65710081435753e-17
2,1,9.90730816673432e-18
3,1,1.0652114064983e-17
1,1,8.01070569581847e-17
2,1,2.03702272837959e-17
3,1,2.15706089558645e-17
1,1,1.80920084846974e-17
2,1,7.09045379648008e-18
3,1,9.24475147672022e-18
1,1,2.46004281336906e-17
2,1,4.56126895669515e-17
3,1,5.66700134929235e-17
